0
ma_alignment
macd
macd_signal
hh
ll
pivot_high
pivot_low
dir
open_slope_10
high_std_3
high_slope_3
high_slope_10
high_slope_20
low_slope_3
low_std_5
low_slope_10
low_slope_20
close_slope_3
volume_slope_3
